9.666,83.275
-0.366,45.026
12.498,70.329
14.461,26.887
5.720,-10.298
-7.274,-41.767
-10.421,-37.933
-4.377,3.012
3.485,43.973
5.861,38.540
1.026,-3.081
-2.711,-23.642
-1.692,-12.767
2.728,5.813
6.086,17.944
3.678,19.364
-0.253,14.111
-3.675,-7.776
-6.029,-39.274
-3.981,-14.022
0.786,36.597
1.967,28.810
-0.898,-10.203
-3.632,-23.913
-2.464,-10.082
0.946,15.637
4.962,32.077
6.479,23.643
3.644,-3.743
0.951,-24.904
3.446,-18.674
3.838,-2.348
-1.839,-7.159
-2.173,-14.682
4.091,-9.297
6.901,4.205
1.354,13.052
-2.725,3.566
2.016,3.102
4.935,1.028
1.043,-14.199
1.314,-11.383
9.247,13.048
11.385,19.937
5.043,-6.851
2.955,-14.514
4.639,-8.733
4.963,-16.296
4.127,-16.289
2.492,14.507
1.413,29.287
-0.500,1.996
0.995,-22.035
2.790,-13.306
0.157,13.940
-3.630,19.288
-3.130,-0.857
-0.276,-18.881
-0.401,-9.705
-0.850,11.260
0.479,5.447
2.940,-16.789
2.773,-17.769
0.431,5.608
-3.141,21.741
-6.568,16.435
-7.847,-0.114
-8.180,-11.290
-8.967,-0.921
-11.455,14.770
-8.316,16.836
-3.953,8.679
-6.015,-9.165
-8.145,-19.387
-7.471,-17.651
-6.708,-10.672
-6.232,-1.537
-4.355,13.479
-0.870,18.606
-2.501,-0.531
-8.873,-18.630
-7.773,-9.248
1.102,27.598
5.885,32.792
3.056,-8.273
1.752,-21.943
0.775,-13.287
-3.471,-16.629
-1.518,-6.352
1.639,7.735
-1.523,0.574
-5.549,-19.761
-6.816,-22.320
-3.272,3.518
-0.130,13.392
0.718,-5.472
-0.823,-13.488
-6.604,-5.873
-11.957,6.569
-13.026,-0.661
-8.110,-22.871
1.897,-21.458
8.510,4.233
5.700,13.001
1.074,-7.037
2.112,-9.129
4.159,3.924
0.561,-4.757
-4.809,-11.452
-7.309,-3.438
-6.921,13.563
-7.760,13.958
-8.022,-4.138
-5.598,-13.312
-4.349,-9.366
-7.697,-1.765
-9.935,6.750
-7.793,19.252
-5.433,18.883
-4.177,-3.877
-3.878,-21.851
-3.414,-20.141
-1.614,2.063
-3.732,11.590
-5.718,-8.413
-0.532,-12.787
6.487,14.943
2.968,13.531
-4.620,-11.684
-0.432,-5.303
6.639,9.972
4.659,0.262
-1.074,-11.638
-3.567,-3.850
-4.596,14.106
-4.457,18.032
-1.128,17.107
1.709,12.045
0.707,-11.174
1.197,-19.734
3.866,2.709
5.349,14.261
6.062,1.446
4.603,-11.310
2.960,-8.784
3.438,-4.722
2.155,15.593
-0.700,31.051
-3.412,9.751
-5.518,-20.548
-4.293,-13.493
0.136,22.339
3.941,33.713
7.095,15.620
7.605,9.616
1.349,7.742
-5.248,-11.920
-2.849,-14.267
3.260,6.498
2.592,5.236
-0.531,-12.470
-4.654,-24.346
-8.616,-22.590
-7.866,-5.625
-2.724,17.526
-2.345,16.749
-6.227,-2.089
-3.997,4.972
5.655,41.762
8.188,49.624
2.391,24.226
0.400,0.357
-0.419,-26.144
-0.773,-51.246
5.686,-43.909
13.978,-7.202
17.576,10.990
14.623,-9.138
8.578,-20.083
4.614,-0.331
4.910,19.785
5.100,11.784
0.838,-5.316
-0.336,-1.961
3.097,4.452
5.186,4.440
7.472,0.593
8.041,-0.081
5.352,15.903
4.052,25.615
6.288,16.865
8.154,10.250
1.644,-10.375
-4.781,-28.603
-2.972,-18.104
0.996,5.122
0.904,17.264
-0.717,8.739
0.349,0.145
1.374,-2.340
0.716,1.234
1.626,17.515
1.924,26.285
-2.467,8.058
-6.161,-7.242
-4.108,-6.805
-0.879,-9.028
1.468,-5.526
2.233,8.391
0.818,3.487
1.718,-15.312
0.374,-22.228
-0.225,-7.404
5.329,13.930
10.208,20.529
8.952,4.122
4.116,-9.660
3.182,5.464
5.718,20.547
1.711,9.058
-9.815,-6.221
-14.021,11.693
-12.435,18.918
-14.784,-2.004
-13.359,1.900
-11.353,2.724
-16.490,-21.867
-18.669,-22.137
-8.068,12.240
-0.791,22.303
-4.679,-10.680
-7.021,-32.891
-3.120,-20.772
2.639,5.937
6.611,17.466
4.417,15.637
3.361,20.832
6.021,4.524
3.389,-11.648
-1.507,0.662
-4.728,10.645
-4.897,13.000
-1.725,3.086
0.171,-11.958
1.055,-8.764
1.506,-5.882
-0.296,-12.527
-0.229,-8.232
4.780,10.379
8.413,11.058
6.695,-3.834
2.505,-5.743
2.137,8.795
2.422,2.329
0.483,-22.476
2.462,-8.570
5.675,20.379
3.308,14.822
-3.250,-9.445
-6.166,-10.838
-1.607,1.955
7.184,14.645
7.801,18.963
2.168,21.093
-0.559,19.676
-0.860,14.497
0.374,0.032
2.997,-4.256
0.411,-1.266
-4.852,-11.885
-8.221,-24.434
-8.133,-17.954
-7.647,-6.529
-5.302,5.726
0.658,17.221
4.775,19.135
3.928,5.635
0.966,-6.273
-0.901,-7.641
-1.895,1.639
-4.057,7.388
-2.263,6.018
1.933,4.312
0.224,-7.736
-2.882,-16.178
-1.434,-6.520
2.768,1.188
3.885,0.357
2.674,5.445
0.180,6.092
-4.999,-7.363
-8.216,-8.298
-8.560,2.395
-6.292,4.057
-2.647,2.028
-5.628,-4.668
-10.151,-12.788
